LST,NDVI,Precipitation,Temperature,year,admin_1,product,indicator,value,year_sin,year_cos,state_encoded,temp_x_precip,lst_x_ndvi,yield_lag1,yield_lag2,yield_lag3,yield_roll3,yield_roll5,yield_std3,yield_diff1,yield_pct,state_te
305.84323,0.4233107,1277.7548,26.675346,2008,Cross River,Maize,yield,1.6327894128228189,-0.8660254037844651,-0.49999999999995415,8,34084.5513931608,129.466711781561,1.6173001310615989,1.7174937621291932,1.6395821242019732,1.6581253391309219,1.669956849700664,0.05260778498999161,0.015489281761219997,0.009577246340203294,1.9640782719115952
306.06,0.42762327,1271.8428,27.365923,2009,Cross River,Maize,yield,2.271943099273608,-0.9659258262890695,-0.25881904510251624,8,34805.1521329044,130.8783780162,1.6327894128228189,1.6173001310615989,1.7174937621291932,1.655861102004537,1.6674406906058543,0.05393438659983682,0.639153686450789,0.39144894095424076,1.8728608658146466
306.0535,0.4254658,1287.4465,27.45352,2010,Cross River,Maize,yield,3.176204077612528,-1.0,-4.3605472797921425e-14,8,35344.93823668,130.2152972203,2.271943099273608,1.6327894128228189,1.6173001310615989,1.840677547719342,1.7758217058978385,0.373567211396321,0.9042609783389204,0.3980121591196686,1.8384652517124334
306.34503,0.42302173,1220.7533,27.04393,2011,Cross River,Maize,yield,2.712065288713911,-0.9659258262890921,0.25881904510243203,8,33013.966792469,129.5906045675019,3.176204077612528,2.271943099273608,1.6327894128228189,2.3603121965696516,2.0831460965799495,0.7754927658525712,-0.46413878889861726,-0.14613002740286718,1.8019218744711165
305.59457,0.42084876,1304.7032,26.770334,2012,Cross River,Maize,yield,3.165222760520566,-0.8660254037844518,0.4999999999999771,8,34927.3404348688,128.6090958472332,2.712065288713911,3.176204077612528,2.271943099273608,2.7200708218666825,2.282060401896893,0.45218364151902973,0.4531574718066551,0.1670894405427632,1.8019218744711165
306.6914,0.4259423,1048.5135,27.119905,2013,Cross River,Maize,yield,1.8427828545463725,-0.7071067811865199,0.707106781186575,8,28435.5865112175,130.63284030622,3.165222760520566,2.712065288713911,3.176204077612528,3.0178307089490013,2.5916449277886864,0.2648575399906988,-1.3224399059741936,-0.41780310772082896,1.8019218744711165
306.36066,0.4242326,1159.8105,27.012936,2014,Cross River,Maize,yield,1.408930669800235,-0.5000000000000081,0.866025403784434,8,31329.886808628,129.968179329516,1.8427828545463725,3.165222760520566,2.712065288713911,2.5733569679269497,2.633643616133397,0.6720430231167586,-0.4338521847461374,-0.23543315680182864,1.9640782719115952
306.16895,0.4036002,1114.3763,27.112036,2015,Cross River,Maize,yield,1.4622298065984072,-0.25881904510257636,0.9659258262890534,8,30213.010363146797,123.56984945379,1.408930669800235,1.8427828545463725,3.165222760520566,2.138978761622391,2.4610411302387227,0.9148439694877682,0.05329913679817211,0.03782949575916961,1.9640782719115952
306.33463,0.4153306,1207.252,27.302628,2016,Cross River,Maize,yield,1.837822127494672,7.847643204728474e-15,1.0,8,32961.152258256,127.230145678678,1.4622298065984072,1.408930669800235,1.8427828545463725,1.5713144436483384,2.118246276035898,0.23660414848959266,0.3755923208962648,0.25686271692820095,1.8728608658146466
306.3891,0.41154227,1127.9817,27.362865,2017,Cross River,Maize,yield,1.8232781633742656,0.2588190451024817,0.9659258262890787,8,30864.810979570502,126.09206571725699,1.837822127494672,1.4622298065984072,1.408930669800235,1.5696608679644382,1.9433976437920506,0.23375851926825764,-0.014543964120406372,-0.007913695184545877,1.8019218744711165
306.11203,0.42416587,1310.2294,27.159376,2018,Cross River,Maize,yield,1.806378132118451,0.5000000000000216,0.8660254037844262,8,35585.0129208544,129.8422755224161,1.8232781633742656,1.837822127494672,1.4622298065984072,1.7077766991557815,1.6750087243627907,0.2127741503484875,-0.016900031255814518,-0.009269036176322243,1.8384652517124334
306.68036,0.43271995,1364.0745,27.172945,2019,Cross River,Maize,yield,1.7766323024054982,0.707106781186531,0.707106781186564,8,37065.92136440249,132.706710045182,1.806378132118451,1.8232781633742656,1.837822127494672,1.822492807662463,1.667727779877206,0.015736702291150803,-0.02974582971295292,-0.016467111278671287,1.9640782719115952
306.6339,0.42668813,1212.3434,27.295088,2020,Cross River,Maize,yield,1.746547659144493,0.8660254037844028,0.500000000000062,8,33091.0197892192,130.83704538560698,1.7766323024054982,1.806378132118451,1.8232781633742656,1.802096199299405,1.741268106398259,0.02361589079156914,-0.03008464326100513,-0.016933522609192453,1.9640782719115952
307.29343,0.41908243,1246.6871,27.533175,2021,Cross River,Maize,yield,1.8566019097793875,0.9659258262890668,0.2588190451025267,8,34325.254094542506,128.7812773674349,1.746547659144493,1.7766323024054982,1.806378132118451,1.7765193645561475,1.798131676907476,0.029915396375278826,0.11005425063489449,0.06301245205573269,1.8384652517124334
306.03842,0.40504837,1209.5397,26.918283,2022,Cross River,Maize,yield,1.614292804076219,1.0,5.438607851423766e-14,8,32558.7319443351,123.96036317837539,1.8566019097793875,1.746547659144493,1.7766323024054982,1.7932606237764597,1.8018876333644194,0.05688022788644415,-0.24230910570316855,-0.13051214933413546,1.8945298189516229
306.0498,0.43218267,1280.7062,27.581543,2023,Cross River,Maize,yield,1.6469714192618283,0.9659258262890654,-0.2588190451025314,8,35323.8531256666,132.269419716966,1.614292804076219,1.8566019097793875,1.746547659144493,1.7391474576666999,1.76009056150481,0.12132393792282326,0.03267861518560933,0.02024330103132055,1.9640782719115952
305.99786,0.43620792,1229.9347,27.047836,2003,Delta,Maize,yield,1.8047619047619048,0.258819045102566,-0.9659258262890562,9,33267.0720563092,133.47869003505122,1.8047619047619048,1.805048420384188,1.6177054386661374,1.7425052546040767,1.7425052546040767,0.10807990593263904,0.0,0.0,1.919758989513308
